EGS,depth,abundance
1856128.258,989.64655,0
1944826.811,989.64655,0.343391
1974684.592,989.64655,3.56774
2004644.39,989.64655,0
2076694.278,989.64655,0.118382
2109145.899,989.64655,0.309281
2148850.411,989.64655,0
2159085.863,989.64655,4.102891
2165036.874,989.64655,1.762746
2165447.726,989.64655,0.873136
2180526.233,989.64655,0.591335
2203080.71,989.64655,2.101852
2226727.618,989.64655,0.427618
2229416.948,989.64655,0.461524
2358199.526,989.64655,0.129756
2418216.423,989.64655,0.303261
2452459.495,989.64655,0
2551114.852,989.64655,0.802745
2749898.461,989.64655,0.313773
2751708.804,989.64655,1.268466
2768861.119,989.64655,1.1026
2810488.609,989.64655,0
2901619.964,989.64655,0
2910265.532,989.64655,0.091483
2960911.95,989.64655,0
3447663.875,989.64655,0
1176367.406,989.64655,1.143653
1488538.78,989.64655,0.131689
1509747.396,989.64655,1.727567
1589307.157,989.64655,0.034869
1624902.846,989.64655,2.048343
1725990.042,989.64655,0.478518
1800128.457,989.64655,1.388102
1809468.462,989.64655,0.243011
1851206.389,989.64655,0.296233
1869396.232,989.64655,0.829715
1956540.629,989.64655,0.886528
2009780.634,989.64655,0.241082
2010968.649,989.64655,0.881387
2055703.079,989.64655,1.771579
1591369.795,989.64655,0.45762
1656852.3,989.64655,0.303201
1673481.962,989.64655,0.29576
1693285.209,989.64655,0.65447
1728299.015,989.64655,0.627643
1820639.076,989.64655,0
1820832.808,989.64655,0.429546
1855205.774,989.64655,2.17972
2042016.07,989.64655,0.554319
2075772.998,989.64655,0
2115544.764,989.64655,0.682418
2163586.467,989.64655,0
2168270.91,989.64655,0
2202917.038,989.64655,0.154233
2322395.858,989.64655,1.51472
2504520.158,989.64655,0.135897
2581091.136,989.64655,1.165294
2763780.976,989.64655,2.827832
2792234.475,989.64655,0.210869
2936146.812,989.64655,2.514889
3118477.766,989.64655,0.230424
3592875.125,989.64655,0.211164
1325549.317,989.64655,0.852438
1465130.242,989.64655,1.051363
1487027.354,989.64655,0
1687069.983,989.64655,0.538707
1803013.224,989.64655,0
1873440.33,989.64655,0
2083991.251,989.64655,0.138042
2652780.488,989.64655,7.494074
1537067.175,5.462833,0
2106631.443,5.462833,0
2295757.172,5.462833,0
2416182.504,5.462833,0
2595850.768,5.462833,0.047096
2633157.895,5.462833,0
2637539.438,5.462833,0
2975438.931,5.462833,0
1907085.894,5.462833,0
2680535.994,5.462833,0
2798252.648,5.462833,0
3082049.76,5.462833,0
1874222.345,5.462833,0
2454889.23,5.462833,0
2466240.782,5.462833,0
1446709.698,5.462833,16.216346
1457916.623,5.462833,15.075158
1493225.235,5.462833,37.772751
1581636.647,5.462833,35.849735
1651796.147,5.462833,15.746887
1663276.381,5.462833,17.058806
1752110.801,5.462833,13.429887
1829129.437,5.462833,1.137685
1890539.455,5.462833,0
1918532.154,5.462833,0
1995929.298,5.462833,0
2016216.797,5.462833,0
2016801.827,5.462833,0.334425
2222105.146,5.462833,0
2247005.988,5.462833,0
2251232.755,5.462833,0
2258179.322,5.462833,1.765585
2264096.188,5.462833,1.551888
2268898.508,5.462833,0.708442
2330684.388,5.462833,0
2358247.093,5.462833,0
2359412.944,5.462833,0
2410523.297,5.462833,0.582532
2481800.545,5.462833,0
2553573.122,5.462833,0.111944
2582196.279,5.462833,0
2589108.578,5.462833,0
2614176.484,5.462833,0
2620414.857,5.462833,0
2635379.029,5.462833,0
2662387.515,5.462833,0.092435
2676894.594,5.462833,0
2694308.061,5.462833,0
2938393.652,5.462833,0
3054516.029,5.462833,0
3230981.729,5.462833,0
3661459.281,5.462833,0
1340314.994,5.462833,2.391245
1379677.467,5.462833,11.0606
1430240.216,5.462833,3.746729
1439155.484,5.462833,190.188471
1456472.573,5.462833,161.822375
1495621.563,5.462833,26.895952
1507545.764,5.462833,24.297324
1515892.788,5.462833,48.649299
1552783.529,5.462833,5.704834
1561506.06,5.462833,10.930778
1564638.398,5.462833,110.373624
1583286.745,5.462833,14.496467
1618234.364,5.462833,3.67309
1637737.763,5.462833,28.760163
1697468.372,5.462833,13.331803
1966410.51,5.462833,33.16177
1110638.695,5.462833,928.781679
1131377.483,5.462833,54.00636
1256488.117,5.462833,66.319798
1275744.522,5.462833,21.738225
1304114.484,5.462833,31.816926
1308389.977,5.462833,20.683876
1409981.56,5.462833,4.746853
1515259.641,5.462833,18.496732
1527391.442,5.462833,832.483792
1633574.463,5.462833,27.529722
2303081.183,5.462833,0
2458581.75,5.462833,0
2629707.237,5.462833,0.048774
2839279.867,5.462833,0
2907955.197,5.462833,0
3143504.787,5.462833,0
2084003.218,5.462833,0
2419995.863,5.462833,0
2510845.85,5.462833,0
2688466.89,5.462833,0
2813370.45,5.462833,0
2983519.588,5.462833,0
3086524.792,5.462833,0
3367044.82,5.462833,0
3520150.167,5.462833,0
3862329.886,5.462833,0
1370343.546,5.462833,2.061554
1413077.037,5.462833,42.467375
1441197.664,5.462833,16.717827
1504514.989,5.462833,2.532497
1512077.992,5.462833,10.359015
1513255.912,5.462833,3.553157
1527512.248,5.462833,14.639732
1539874.919,5.462833,10.665465
1560974.768,5.462833,13.029713
1619911.049,5.462833,2.68174
1711541.188,5.462833,0
1734198.486,5.462833,1.23805
1737315.505,5.462833,3.28031
1774907.095,5.462833,7.749707
1795368.002,5.462833,4.333922
2072896.291,5.462833,10.941412
2083622.631,5.462833,8.197083
2150638.677,5.462833,3.437569
2216506.247,5.462833,0.545867
2650679.612,5.462833,4.633409
1408712.462,5.462833,14.869032
1490551.003,5.462833,13.002282
1567077.929,5.462833,12.625768
1608316.687,5.462833,1.438078
1662833.64,5.462833,3.462958
1781415.112,5.462833,4.632845
1810680.456,5.462833,1.593
1866097.773,5.462833,0.637934
1887408.638,5.462833,1.735484
1983984.078,5.462833,0.26585
2041929.073,5.462833,0
2059797.991,5.462833,0
2111146.864,5.462833,0
2137777.778,5.462833,0
2157169.832,5.462833,0.258207
2158523.182,5.462833,0.066551
2192810.292,5.462833,2.118455
2215459.783,5.462833,0
2295003.828,5.462833,0
2323059.43,5.462833,0.192815
2337368.032,5.462833,0.069692
2387688.303,5.462833,0.347545
2389851.605,5.462833,0
2463304.553,5.462833,0
2476542.361,5.462833,0
2676454.576,5.462833,0
2838486.131,5.462833,0.377312
2887285.023,5.462833,0
1666445.58,5.462833,6.745951
1708150.616,5.462833,1.191691
1774171.659,5.462833,0.643794
1822411.29,5.462833,1.551911
2045693.373,5.462833,0
2068359.028,5.462833,0.079509
2106443.897,5.462833,0
2109231.45,5.462833,1.304367
2234493.093,5.462833,0
2330533.32,5.462833,0.1112
1833123.845,5.462833,0
1958580.576,5.462833,0
2027774.03,5.462833,2.009904
2205216.685,5.462833,0
2205520.481,5.462833,0.191164
2427328.609,5.462833,0
2467698.943,5.462833,0
2507974.759,5.462833,0
2782288.182,5.462833,0
3020664.629,5.462833,0
3081164.822,5.462833,0
3083738.337,5.462833,0
3339315.408,5.462833,0
3465738.468,5.462833,0
3609067.358,5.462833,0
4034611.169,5.462833,0
4060955.171,5.462833,0
1819560.919,5.462833,0
2405102.647,5.462833,0
2782198.345,5.462833,0
3013789.685,5.462833,0
3041377.334,5.462833,0
3183187.029,5.462833,0
3192129.887,5.462833,0
3439309.204,5.462833,0
2162820.431,5.462833,0
2837196.147,5.462833,0
2909073.242,5.462833,0
2944331.737,5.462833,0
3018404.321,5.462833,0
3025677.568,5.462833,0
3148956.734,5.462833,0
3357140.956,5.462833,0
3459856.922,5.462833,0
3489860.648,5.462833,0
3537173.214,5.462833,0
3596931.641,5.462833,0
3624159.165,5.462833,0
3684528.668,5.462833,0
3707981.231,5.462833,0
3749854.307,5.462833,0
3762309.484,5.462833,0
4055509.818,5.462833,0
4096067.544,5.462833,0
4530296.088,5.462833,0
4816126.842,5.462833,0
2228364.244,5.462833,0
2796220.269,5.462833,0
2338557.134,5.462833,0
2352824.636,5.462833,0
2365606.018,5.462833,0
2373296.253,5.462833,0
